Number,GivenName,Surname,Gender,StreetAddress,City,StateFull,ZipCode,TelephoneNumber,Age,Company,Latitude,Longitude
1348,Leila,Costa,female,"Alameda Gato de Botas 356",Itu,"São Paulo",13306-371,"(11) 8254-9512",37,"Olson's Market",-23.354001,-47.300134
1349,Luana,Melo,female,"Rua Motorista Mariano 1048","Santa Maria","Rio Grande do Sul",97050-510,"(55) 5610-6087",33,"Laughner's Cafeteria",-29.872561,-53.915325
1350,Lavinia,Melo,female,"Rua Xavantes 1734","Governador Valadares","Minas Gerais",35051-550,"(33) 5586-9368",23,Sagebrush,-18.796575,-41.97379
1351,Luiza,Alves,female,"Rua Seis 1177",Bauru,"São Paulo",17047-520,"(14) 5910-3596",33,"Virgin Megastores",-22.178426,-49.129528
1352,Erick,Cavalcanti,male,"1ª Travessa São José da Colina 1851","Jaboatão dos Guararapes",Pernambuco,54250-601,"(81) 6958-9077",31,"Star Merchant Services",-8.100918,-34.968042
1353,Arthur,Cardoso,male,"1ª Travessa Azevedo Machado 77",Salvador,Bahia,40726-365,"(71) 5282-4460",42,"Target Source",-12.94066,-38.532178
1354,Ágatha,Azevedo,female,"Rua Levotti Grottera 1503","São Paulo","São Paulo",05683-040,"(11) 3338-7855",43,"China Coast",-23.557111,-46.618896
1355,Gabrielly,Ferreira,female,"Quadra Quadra 339 1256",Luziânia,Goiás,72853-339,"(61) 3930-8121",27,"Garden Master",-16.518736,-47.983563
1356,Kauã,Rocha,male,"Rua Villarica 1989",Blumenau,"Santa Catarina",89066-745,"(47) 4430-2657",22,"Sholl's Colonial Cafeteria",-26.878843,-49.008057
1357,Mateus,Gomes,male,"Rua Aurora do Carmo dos Santos 401",Pinhais,Paraná,83330-266,"(41) 9164-6620",40,"Foot Quarters",-25.439025,-49.177505
1358,Tomás,Goncalves,male,"Rua Três 701",Ilhéus,Bahia,45652-505,"(73) 5275-3021",30,"Atlas Architectural Designs",-14.685608,-39.28639
1359,Carla,Silva,female,"Rua 3 1853",Manaus,Amazonas,69068-310,"(92) 7857-5934",38,"MacMarr Stores",-2.588141,-60.104752
1360,Aline,Araujo,female,"Praça Jiri Aron 432","Telêmaco Borba",Paraná,84261-720,"(42) 2099-2981",30,Foxmoor,-24.310391,-50.536316
1361,Ana,Pinto,female,"Rua Nova Fátima 417",Curitiba,Paraná,81820-260,"(41) 4142-9778",26,"Landskip Yard Care",-25.485235,-49.221303
1362,Eduarda,Pereira,female,"Calçada Salvador Isaia 1226","Santa Maria","Rio Grande do Sul",97015-015,"(55) 2903-9887",31,Witmark,-29.677307,-53.794234
1363,Giovana,Costa,female,"Rua Rosa Vermelha 1776","Campo Grande","Mato Grosso do Sul",79108-306,"(67) 2832-4813",27,"Schucks Auto Supply",-20.966133,-54.261093
1364,Fábio,Martins,male,"Rua Nove 1231",Serra,"Espírito Santo",29168-326,"(27) 8970-2881",30,"House Works",-20.031741,-40.339649
1365,Daniel,Araujo,male,"Avenida Luiz Pequini 1409","São Bernardo do Campo","São Paulo",09780-250,"(11) 2890-9757",20,Flexus,-23.816262,-46.483811
1366,Rafaela,Correia,female,"Rua Anacleto Ferreira 605","São João Del Rei","Minas Gerais",36302-824,"(32) 8920-4296",40,"Monk Home Funding Services",-21.309639,-44.238257
1367,Manuela,Martins,female,"Acesso Oito 1528",Altamira,Pará,68371-260,"(93) 3252-5629",30,"The Polka Dot Bear Tavern",-5.800774,-53.74346
1368,Evelyn,Pereira,female,"Rua Surucuas 44","Nova Iguaçu","Rio de Janeiro",26061-110,"(21) 7227-9248",25,"Poore Simon's",-22.768194,-43.411309
1369,Carolina,Lima,female,"Travessa Monte Belo 550",Niterói,"Rio de Janeiro",24315-230,"(21) 7130-9649",42,"Matrix Architectural Service",-23.007352,-43.006765
1370,Yasmin,Cavalcanti,female,"Quadra QR 404 Conjunto 13-A 553",Samambaia,"Distrito Federal",72318-115,"(61) 7698-4098",45,"Quality Event Planner",-23.044164,-47.487587
1371,Leonardo,Silva,male,"Rua Rutilo 135",Ipatinga,"Minas Gerais",35162-116,"(31) 4673-8794",25,"Cardinal Stores",-19.419444,-42.526633
1372,Maria,Rodrigues,female,"Rua Tocaios 1343","Belo Horizonte","Minas Gerais",30270-200,"(31) 2336-6096",34,Anderson-Little,-19.832378,-43.934581
1373,Laura,Martins,female,"Avenida Doze 1386",Rondonópolis,"Mato Grosso",78735-822,"(66) 3067-5487",42,"Borders Books",-16.357536,-54.551897
1374,Livia,Correia,female,"Rua Bernardo Simeão 1726","Porto Velho",Rondônia,78923-340,"(69) 8374-8994",42,Gantos,-9.154123,-64.396553
1375,Larissa,Azevedo,female,"Rua Angelino Guerino 961","São Paulo","São Paulo",08031-790,"(11) 4174-8371",32,"Cougar Investment",-23.59894,-46.617735
1376,Júlia,Oliveira,female,"3ª Travessa Carlópolis 1709",Recife,Pernambuco,50760-255,"(81) 3852-9353",24,"Thom McAn Store",-8.089386,-34.951623
1377,Leonardo,Cavalcanti,male,"Rua Santa Luzia 253","São Luís",Maranhão,65095-840,"(98) 5268-7905",25,"Gamma Gas",-2.71809,-44.361995
1378,Marina,Martins,female,"Estrada Ondina Ferreira de Lima 1824","São Leopoldo","Rio Grande do Sul",93050-360,"(51) 8944-6146",43,"Golden's Distributors",-29.696222,-51.056485
1379,Mariana,Barbosa,female,"Rua Meier 187","Taboão da Serra","São Paulo",06783-095,"(11) 5149-2703",38,"Crazy Tiger",-23.550561,-46.788238
1380,Gustavo,Pereira,male,"3ª Travessa Dom Basílio 1082",Camaragibe,Pernambuco,54777-043,"(81) 4407-4623",26,"Rogers Food Stores",-7.908144,-34.99038
1381,Clara,Martins,female,"Rua Afonso Pena 1755",Mauá,"São Paulo",09371-470,"(11) 3508-8741",35,Afforda,-23.736071,-46.448586
1382,Livia,Azevedo,female,"Rua Doutor Emanuel Oss 1930","Santa Maria","Rio Grande do Sul",97095-130,"(55) 7345-2401",24,Pomeroy's,-29.796964,-53.92349
1383,Carla,Gomes,female,"Rua Topázio 840",Ariquemes,Rondônia,78932-067,"(69) 6370-5083",39,"Northern Reflections",-9.877623,-63.033637
1384,Manuela,Martins,female,"Quadra Quadra 437 1873",Luziânia,Goiás,72856-437,"(61) 5914-4309",26,Edwards,-16.441997,-47.965107
1385,Emily,Correia,female,"Avenida Monsenhor Antônio de Castro 307","São Paulo","São Paulo",03461-000,"(11) 2165-8958",27,Veramons,-23.569273,-46.731949
1386,Emilly,Rodrigues,female,"Rua Cambará 1818",Fortaleza,Ceará,60710-410,"(85) 3122-5414",35,"Environ Architectural Design",-3.692195,-38.600001
1387,Maria,Pinto,female,"Rua Pedra Branca 20",Teresina,Piauí,64066-100,"(86) 4087-7208",44,"Holly Tree Inn",-5.326642,-42.820837
1388,Isabella,Lima,female,"Rua Ministro Otávio Kelly 986",Niterói,"Rio de Janeiro",24220-300,"(21) 2788-7608",40,"Kinney Shoes",-22.86042,-42.995572
1389,Manuela,Martins,female,"Rua Frederico Abranches Júnior 994","Francisco Morato","São Paulo",07910-180,"(11) 5602-7105",38,"De Pinna",-23.20092,-46.691461
1390,Matilde,Santos,female,"Rua Desembargador Mário da Silva Nunes 1484",Vitória,"Espírito Santo",29050-240,"(27) 9192-9948",24,"Rogersound Labs",-20.197888,-40.239768
1391,Vitoria,Cunha,female,"Rua das Flôres 125",Araguaína,Tocantins,77826-060,"(63) 3793-8281",21,"Thom McAn Store",-7.234937,-48.674084
1392,Erick,Oliveira,male,"Rua Joaquim Nabuco 1932","Rio de Janeiro","Rio de Janeiro",21043-290,"(21) 3100-4511",32,Finast,-22.863873,-43.368772
1393,Marina,Rodrigues,female,"Travessa Vereador José Humeniuk 385",Apucarana,Paraná,86800-085,"(43) 7578-9109",41,"Morrison's Cafeteria",-23.507057,-51.517941
1394,Melissa,Gomes,female,"Avenida Alberto Torres 1513","Campos dos Goytacazes","Rio de Janeiro",28035-582,"(22) 3040-4797",33,"Belle Ladi",-21.634107,-41.539172
1395,Gabrielly,Gomes,female,"Rua Leda Souza Marinho 1537",Macaé,"Rio de Janeiro",27925-430,"(22) 8281-5144",19,"Aaronson Furniture",-22.348448,-42.102502
1396,Rebeca,Dias,female,"Rua das Granadas 861",Joinville,"Santa Catarina",89205-180,"(47) 9712-2662",27,Erlebacher's,-26.345671,-49.029385
1397,Emilly,Goncalves,female,"Rua Arnon Corrêa 1625",Paranaguá,Paraná,83221-165,"(41) 3158-4477",24,"Standard Sales",-25.559074,-48.514231
1398,Luiza,Correia,female,"Avenida Silva Jardim 171",Curitiba,Paraná,80240-020,"(41) 6768-2377",22,Sportmart,-25.449158,-49.21301
1399,Gabriel,Rocha,male,"Rua Orobó 95","Abreu e Lima",Pernambuco,53520-370,"(81) 2123-2164",35,"Golden Dawn",-7.804758,-34.959943
1400,Cauã,Costa,male,"Rua Henrique Natal Rigoldi 612",Maringá,Paraná,87047-120,"(44) 6035-6641",24,"Food Barn",-23.285971,-51.924836
1401,Isabella,Lima,female,"Rua Monte Negro 382","Belo Horizonte","Minas Gerais",30410-200,"(31) 8119-6415",44,"Coast to Coast Hardware",-19.83352,-43.891999
1402,Luana,Carvalho,female,"Avenida Castelinho 1453","São Luís",Maranhão,65043-110,"(98) 3546-3655",42,"Target Source",-2.660569,-44.304487
1403,Giovana,Correia,female,"Rua Kurt Hollerbach 22","Teófilo Otoni","Minas Gerais",39801-312,"(33) 2498-9368",32,Steinberg's,-17.771684,-41.242462
1404,Ana,Almeida,female,"Quadra Quadra 240 1621",Luziânia,Goiás,72859-240,"(61) 8651-3495",34,Quickbiz,-16.54968,-47.952331
1405,Gabriela,Dias,female,"Rua Governador Pedro de Toledo 564",Santos,"São Paulo",11045-550,"(11) 5494-8806",23,"Asian Solutions",-23.928842,-46.352692
1406,Sofia,Santos,female,"Rua Paula Fonseca 176","Rio de Janeiro","Rio de Janeiro",21650-350,"(21) 6841-3215",43,"Architectural Genie",-22.963288,-43.386078
1407,Alex,Cardoso,male,"Rua Cachoeira de Minas 1722","São Paulo","São Paulo",03973-050,"(11) 3430-6360",35,"Incredible Universe",-23.675366,-46.659956
1408,Vitória,Cunha,female,"Rua Godofredo Ferro 1629",Maceió,Alagoas,57020-570,"(82) 7207-5977",27,"Sunflower Market",-9.513043,-35.603584
1409,João,Correia,male,"Rua Corrente de Ouro 698","Feira de Santana",Bahia,44062-260,"(75) 3439-5330",18,"Universal Design Partners",-12.248415,-39.155152
1410,Ryan,Dias,male,"Rua Itapechinga 319","Bragança Paulista","São Paulo",12919-514,"(11) 8435-5289",37,"Cut Rite Lawn Care",-22.84607,-46.588306
1411,Beatriz,Lima,female,"Rua Rio Varador 310",Joinville,"Santa Catarina",89228-502,"(47) 3229-9411",25,"Stop and Shop",-26.180347,-48.904139
1412,Felipe,Fernandes,male,"Rua 4 1479",Goiânia,Goiás,74370-489,"(62) 6078-3186",26,"Magik Lamp",-16.563395,-49.172826
1413,Ryan,Ribeiro,male,"Rua Ananias Aleixo de Freitas 1486","Capão Bonito","São Paulo",18303-550,"(15) 8239-8911",33,"Beaver Lumber",-24.145983,-48.279543
1414,Raissa,Barbosa,female,"Rua Feliciano Cavia 1296","São Paulo","São Paulo",03820-230,"(11) 8415-2161",19,"Record Town",-23.725059,-46.692066
1415,Anna,Melo,female,"Acesso Setenta e Sete 1933","Porto Alegre","Rio Grande do Sul",90843-008,"(51) 5503-9006",41,"Four Leaf Clover",-30.166281,-51.256674
1416,Sarah,Martins,female,"Travessa Dezesseis 465","Cabo de Santo Agostinho",Pernambuco,54525-522,"(81) 4220-5634",18,"Personal & Corporate Design",-8.356436,-35.00194
1417,Melissa,Sousa,female,"Rua João Balardin 1725","Caxias do Sul","Rio Grande do Sul",95060-330,"(54) 6282-5168",23,"Security Sporting Goods",-29.099883,-50.989654
1418,Victor,Fernandes,male,"Rua Vista Alegre 7",Manaus,Amazonas,69054-630,"(92) 5198-7726",41,"Rhodes Furniture",-2.614272,-60.098779
1419,Isabelle,Carvalho,female,"Rua Antônio José de Oliveira 1743",Sorocaba,"São Paulo",18052-570,"(15) 3966-6917",21,"Listenin' Booth",-23.493793,-47.518486
1420,Sophia,Alves,female,"Avenida Doutor Saulo Coelho 1945","Porto Alegre","Rio Grande do Sul",91180-540,"(51) 2597-7680",36,"Simply Save",-30.163596,-51.089766
1421,Mariana,Castro,female,"Praça Sete de Setembro 145",Palhoça,"Santa Catarina",88130-200,"(48) 3178-8790",33,Netaid,-27.87358,-48.662218
1422,Isabella,Goncalves,female,"Rua Lídia Garcia Durão 1626",Linhares,"Espírito Santo",29902-411,"(27) 6221-5193",41,"Ernst Home Centers",-19.436817,-40.103126
1423,Bianca,Fernandes,female,"Rua Bonifácio Kaiute 1807",Araucária,Paraná,83705-730,"(41) 6816-7336",44,Dahlkemper's,-25.503225,-49.515834
1424,Kauan,Correia,male,"Travessa Antônio Seabra 1243","Ribeirão Preto","São Paulo",14030-067,"(16) 6824-5305",35,"Accord Investments",-21.170186,-47.770773
1425,Rebeca,Araujo,female,"Rua Bruno Garcia 782","Três Lagoas","Mato Grosso do Sul",79640-112,"(67) 5961-2848",26,"Nan Duskin",-20.32011,-52.296228
1426,Thaís,Sousa,female,"Rua Amélia Mafra Daí 1435",Blumenau,"Santa Catarina",89056-111,"(47) 6385-3924",29,Tweeter,-26.974089,-49.195504
1427,Pedro,Martins,male,"Rua Dinamarca 1826",Goiânia,Goiás,74330-050,"(62) 6097-7657",29,Gottschalks,-16.714421,-49.266222
1428,Fernanda,Silva,female,"Rua Cláudio Nei de Lazzari 1514","Ribeirão Preto","São Paulo",14096-690,"(16) 9305-7549",44,"id Boutiques",-21.298358,-47.814621
1429,Luana,Pinto,female,"Rua Ubajara 728",Recife,Pernambuco,50870-530,"(81) 2024-6217",31,SoundTrack,-7.947365,-34.986391
1430,Amanda,Almeida,female,"Rua 11 627",Caucaia,Ceará,61645-110,"(85) 3233-5582",18,"Sunny's Surplus",-3.841883,-38.797576
1431,Kai,Pinto,male,"Rua Cinco 1913","Cabo Frio","Rio de Janeiro",28908-070,"(22) 5306-8245",38,"Simple Solutions",-22.685708,-42.066681
1432,Eduarda,Rodrigues,female,"Rua Alcides Bonatelli 368",Florianópolis,"Santa Catarina",88056-720,"(48) 3146-9266",23,Peaches,-27.564584,-48.402861
1433,Alice,Pereira,female,"Rua Petrolina 663",Anápolis,Goiás,75135-250,"(62) 7606-6468",28,"Sunny's Surplus",-16.284411,-49.002076
1434,Anna,Barbosa,female,"Rua Macejana 1373","Boa Vista",Roraima,69304-031,"(95) 3466-9419",41,"Jacob Reed and Sons",3.267627,-60.703987
1435,Lavinia,Costa,female,"Rua Arlindo Novaes 1411",Araçatuba,"São Paulo",16012-693,"(18) 9295-3711",25,Monit,-21.073251,-50.584541
1436,Ana,Carvalho,female,"Rua Josafá Simões Mariu 846",Aracaju,Sergipe,49045-790,"(79) 6422-8277",22,"Record Town",-11.072743,-37.106277
1437,Raissa,Barbosa,female,"Rua A 1292","Várzea Grande","Mato Grosso",78120-650,"(65) 5389-7665",32,Monlinks,-15.479102,-56.153678
1438,Amanda,Carvalho,female,"Rua Selvino Casagrande 213",Cascavel,Paraná,85805-160,"(45) 9560-7777",32,Strongbod,-25.039314,-53.346401
1439,Julian,Oliveira,male,"Rua Piqueceri 1217","São Paulo","São Paulo",03812-120,"(11) 4779-3829",27,"Movie Gallery",-23.585059,-46.588478
1440,Rodrigo,Barros,male,"2ª Travessa do Triunfo 872",Salvador,Bahia,41231-150,"(71) 3381-4319",20,"Family Toy",-12.924542,-38.389014
1441,Manuela,Castro,female,"Rua Guerra Junqueira 665",Caruaru,Pernambuco,55016-170,"(81) 3613-3416",45,"Buckeye Furniture",-8.118881,-35.945659
1442,Fernanda,Silva,female,"Rua Jorge Lacerda 1307",Tubarão,"Santa Catarina",88704-260,"(48) 3123-9751",26,"Endicott Johnson",-28.588275,-48.970908
1443,Rafaela,Barros,female,"Rua João Zanco 1180","São Paulo","São Paulo",04403-220,"(11) 5290-4744",18,"Sofa Express",-23.636856,-46.568374
1444,Eduarda,Lima,female,"Rua Doutor Manoel Vitorino Pereira 1703",Sorocaba,"São Paulo",18066-120,"(15) 9870-2663",39,"Franklin Simon",-23.563982,-47.458371
1445,Beatriz,Gomes,female,"Quadra QBR 03 Bloco G 683","Santa Maria","Distrito Federal",72593-037,"(61) 2652-2319",27,"Media Play",-29.701225,-53.815504
1446,Eduarda,Silva,female,"2ª Travessa Lima Teixeira 1444",Salvador,Bahia,40251-170,"(71) 6320-8084",43,Weingarten's,-12.858804,-38.455209
1447,Emilly,Cardoso,female,"Rua Capanema 1916","Nova Iguaçu","Rio de Janeiro",26061-760,"(21) 2629-4057",21,Raleigh's,-22.624062,-43.41849
1448,Ryan,Fernandes,male,"Rua Santa Clara 757",Barbacena,"Minas Gerais",36205-050,"(32) 6537-6708",26,"PriceRite Warehouse Club",-21.252542,-43.747671
1449,Rafaela,Rocha,female,"Rua Canoas 979",Teresina,Piauí,64009-340,"(86) 5343-5231",29,"Harvest Foods",-5.39832,-42.753113
1450,Camila,Costa,female,"Travessa Cornélio 546",Rondonópolis,"Mato Grosso",78700-210,"(66) 4181-6994",21,Orion,-16.356382,-54.578064
1451,Marcos,Cardoso,male,"Rua Arábia 1563",Ipatinga,"Minas Gerais",35160-081,"(31) 7756-4336",42,"Expo Superstore",-19.488053,-42.517878
1452,Isabella,Castro,female,"Rua da Saúde 1111",Sumaré,"São Paulo",13173-332,"(19) 4472-5743",40,"Glicks Furniture",-22.862693,-47.280558
1453,Ryan,Cunha,male,"Travessa Augusto Casturino Bueno dos Santos 73","São Paulo","São Paulo",03813-015,"(11) 9225-9636",42,"Beasts of Beauty",-23.643129,-46.70549
1454,Renan,Cardoso,male,"Rua Urupês 1746","Campo Grande","Mato Grosso do Sul",79045-292,"(67) 5063-6778",32,"Solid Future",-21.036396,-54.189211
1455,Ana,Azevedo,female,"Rua Benedito Ribeiro dos Santos 31",Bauru,"São Paulo",17032-555,"(14) 6726-2425",40,Datacorp,-22.348647,-49.173054
1456,Isabelle,Cavalcanti,female,"Rua Céu Azul 345",Recife,Pernambuco,50900-580,"(81) 3352-4475",40,Angel's,-7.939884,-34.924425
1457,Anna,Cunha,female,"Vila Duarte 820",Belém,Pará,66070-140,"(91) 2101-2667",25,"Scotty's Builders Supply",-1.327312,-48.46712
1458,Bianca,Goncalves,female,"Rua Etelvina Viana Coutinho 1732","Santa Luzia","Minas Gerais",33140-310,"(31) 2469-6511",18,BASCO,-19.806743,-43.787513
1459,Luana,Barbosa,female,"Rua Professora Edith Furt 1142","Sete Lagoas","Minas Gerais",35700-057,"(31) 5957-6802",18,"DGS HomeSource",-19.478458,-44.231066
1460,Luana,Cunha,female,"Rua São Salvador 974",Aracaju,Sergipe,49080-590,"(79) 7331-2410",19,"Total Serve",-10.952607,-37.006563
1461,Alex,Santos,male,"Rua Vinte e Quatro 1464",Taubaté,"São Paulo",12092-745,"(12) 3460-8075",19,"Tech Hifi",-23.109338,-45.431148
1462,Thaís,Pereira,female,"Rua José Bonifácio de Arruda 560",Campinas,"São Paulo",13092-073,"(19) 7768-6656",19,"Pergament Home Centers",-22.947139,-47.034231
1463,Livia,Fernandes,female,"Rua Sena Madureira 1036","Rio Branco",Acre,69908-460,"(68) 3499-9127",22,Dahlkemper's,-10.134175,-68.104467
1464,Cauã,Rodrigues,male,"Avenida Itamarati 1417",Florianópolis,"Santa Catarina",88034-400,"(48) 7084-7040",38,Strawberries,-27.708636,-48.428518
1465,Brenda,Pinto,female,"Travessa Sete de Setembro 1472","Santo Antônio de Jesus",Bahia,44571-095,"(75) 4468-4895",33,"The Lawn Guru",-13.070344,-39.267273
1466,Nicole,Martins,female,"Rua Santa Cruz 1310",Suzano,"São Paulo",08665-470,"(11) 5965-6711",40,Sportswest,-23.67069,-46.316975
1467,Kai,Melo,male,"Estrada Trinta 1346",Itapevi,"São Paulo",06685-070,"(11) 7531-3437",41,"Future Plan",-23.614777,-46.933053
1468,Giovanna,Sousa,female,"Rua Jassapé 1953","Belo Horizonte","Minas Gerais",30525-310,"(31) 4349-3966",29,"Dreamscape Garden Care",-19.959073,-43.958144
1469,Ágatha,Barbosa,female,"Rua A 665",Itapevi,"São Paulo",06655-130,"(11) 3204-7194",28,Jafco,-23.655864,-46.970898
1470,Sophia,Cardoso,female,"Rua Orizona 1184","Aparecida de Goiânia",Goiás,74969-293,"(62) 3650-9985",32,"Lawnscape Garden Maintenance",-16.928401,-49.249936
1471,Mariana,Goncalves,female,"Rua C 1960",Campinas,"São Paulo",13105-248,"(19) 5604-9574",27,"Parade of Shoes",-22.849344,-46.955221
1472,Fábio,Correia,male,"Rua Renascença 977",Olinda,Pernambuco,53200-190,"(81) 9968-6392",36,Profitpros,-7.939787,-34.813354
1473,Rebeca,Araujo,female,"Rua Grajaú 1638","São Paulo","São Paulo",01253-001,"(11) 8566-2318",30,ManPower,-23.678992,-46.68867
1474,Carla,Souza,female,"Avenida dos Buritis 951",Uberlândia,"Minas Gerais",38413-054,"(34) 7241-9257",43,"Unity Stationers",-18.960188,-48.404411
1475,Brenda,Silva,female,"Rua Alfredo da Silva Guerra Filho 1731","São Paulo","São Paulo",05832-190,"(11) 6599-2170",21,"Planet Pizza",-23.532534,-46.645227
1476,Mariana,Barros,female,"Quadra QNN 03 Conjunto G 1645",Ceilândia,"Distrito Federal",72225-037,"(61) 2027-6477",25,Tianguis,-15.864344,-48.069063
1477,Alice,Barros,female,"Rua Eternas Ondas 1967","São Paulo","São Paulo",08223-460,"(11) 3094-8872",45,"Crafts & More",-23.560201,-46.613901
1478,Nicole,Castro,female,"Rodovia Manoel de Abreu 1925",Araraquara,"São Paulo",14806-500,"(16) 2242-6074",29,"Wilson's Jewelers",-21.895494,-48.294214
1479,Gabriela,Rocha,female,"Rua Israel Vieira Ferreira 1354",Itatiba,"São Paulo",13252-241,"(11) 7119-9120",45,"Listen Up",-23.059896,-46.8976
1480,Rebeca,Ferreira,female,"Avenida Ministro Salgado Filho 1731",Guaratinguetá,"São Paulo",12511-290,"(12) 2975-4459",30,"Matrix Design",-22.768001,-45.234134
1481,Rafaela,Rocha,female,"Rua José Cardoso 1392",Serra,"Espírito Santo",29164-080,"(27) 4228-5725",43,Adapt,-20.128505,-40.366416
1482,Sophia,Cunha,female,"Rua Dez 1099",Campinas,"São Paulo",13070-121,"(19) 5534-5636",23,"Cardinal Stores",-22.970071,-47.111996
1483,Luiza,Melo,female,"Rua Lucidoro S. Karner 247",Apucarana,Paraná,86811-095,"(43) 6340-7337",19,"Boys Markets",-23.644754,-51.393069
1484,Camila,Silva,female,"Rua Esmeralda Carolina de França 1070","Várzea Grande","Mato Grosso",78148-475,"(65) 4582-5635",19,"Star Bright Investment Group",-15.517843,-56.206788
1485,Julia,Oliveira,female,"Rua Vinte e Um 81",Americana,"São Paulo",13471-215,"(19) 9483-7870",39,BASCO,-22.668421,-47.19819
1486,Caio,Rodrigues,male,"Rua 6 1269",Anápolis,Goiás,75125-250,"(62) 5961-7887",19,"Deco Refreshments, Inc.",-16.206814,-49.037819
1487,Yasmin,Azevedo,female,"Rua Walter Simião 1525",Tupã,"São Paulo",17604-260,"(14) 4171-7034",27,MegaSolutions,-21.987055,-50.544095
1488,Emily,Cavalcanti,female,"Estrada das Lágrimas 463","São Paulo","São Paulo",04244-000,"(11) 7374-3958",23,"Bodega Club",-23.685503,-46.711632
1489,Otávio,Cardoso,male,"Travessa Marcílio Manoel de Jesus 1948",Paranaguá,Paraná,83215-695,"(41) 2221-2865",28,"The Independent Planners",-25.602217,-48.44526
1490,Gabriela,Barbosa,female,"Rua Givaldo Mota 163",Recife,Pernambuco,51030-780,"(81) 7080-2187",31,"Total Yard Management",-8.041658,-34.973499
1491,Clara,Alves,female,"Rua Deise 177",Mauá,"São Paulo",09322-200,"(11) 8547-2181",33,"Matrix Architectural Service",-23.705473,-46.503435
1492,Kauã,Almeida,male,"Rua José Gonçalves Ferreira 1661","Belo Horizonte","Minas Gerais",31930-270,"(31) 9533-8857",23,"Rossi Auto Parts",-19.822256,-43.892109
1493,Lavinia,Cardoso,female,"Rua LO 01 134",Fortaleza,Ceará,60543-520,"(85) 9549-4356",45,"You Are Successful",-3.812973,-38.490991
1494,Leonor,Ribeiro,female,"Rua Abrão Reze 1101",Sorocaba,"São Paulo",18016-634,"(15) 4447-5263",34,"Food Fair",-23.381648,-47.410429
1495,Lavinia,Almeida,female,"Rua Tacomaré 684","São Paulo","São Paulo",03127-040,"(11) 9235-6444",43,"ABCO Foods",-23.639111,-46.548212
1496,Vinicius,Oliveira,male,"Rua Luiz Otávio 314",Americana,"São Paulo",13474-630,"(19) 5718-3502",41,Merry-Go-Round,-22.807539,-47.213599
1497,Isabella,Rodrigues,female,"Rua Severino Soares da Silva 325",Botucatu,"São Paulo",18607-285,"(14) 3846-3589",42,"Success Is Yours",-22.782801,-48.422309
1498,Isabelle,Cardoso,female,"Alameda Xambrê 414","Santana de Parnaíba","São Paulo",06539-020,"(11) 8100-5394",35,"Custom Lawn Service",-23.547078,-47.008246
1499,Ágatha,Cavalcanti,female,"Avenida Vereador Germino Alves 374",Goiânia,Goiás,74640-030,"(62) 2829-2503",44,"Buckeye Furniture",-16.548494,-49.260042
1500,Vinícius,Araujo,male,"Avenida Luiz Otávio 465",Salvador,Bahia,40355-410,"(71) 9107-2089",44,"Giant Open Air",-12.953517,-38.458765
1501,Thaís,Pinto,female,"Rua Coronel Sabino Guimarães 69",Sobral,Ceará,62020-520,"(88) 2376-2767",30,Planetbiz,-3.832407,-40.105047
1502,Gabriela,Ribeiro,female,"Rua Manoel Henrique 1592","Sete Lagoas","Minas Gerais",35702-410,"(31) 3558-6121",33,"Murray's Discount Auto Stores",-19.384212,-44.361019
1503,Julia,Ribeiro,female,"Rua Jacinto Ferreira 1293",Itaúna,"Minas Gerais",35680-070,"(37) 8462-5165",22,"Pro Star",-20.07743,-44.65266
1504,Julia,Castro,female,"Travessa Gregôrio Balabene 1836","São Paulo","São Paulo",04286-060,"(11) 9776-8666",42,"Cal Stereo",-23.682423,-46.726407
1505,Emilly,Lima,female,"Quadra SQN 303 Bloco E 573",Brasília,"Distrito Federal",70735-050,"(61) 6867-8851",40,"Idea Infinity",-15.785753,-47.709119
1506,Sophia,Souza,female,"Rua Tobias da Cruz 189","São José dos Pinhais",Paraná,83020-690,"(41) 9483-2801",22,"Paper Cutter",-25.721196,-49.088311
1507,Breno,Martins,male,"Rua 80-A 1120",Gurupi,Tocantins,77415-710,"(63) 7018-9777",40,"Hollywood Video",-11.665771,-48.918646
1508,Nicolash,Ferreira,male,"Rua K 1336","Porto Alegre","Rio Grande do Sul",91751-060,"(51) 4799-3885",19,Adray,-30.155197,-51.177138
1509,Breno,Souza,male,"Rua Vinte e Cinco de Dezembro 1288",Goiânia,Goiás,74583-013,"(62) 8073-5732",34,Afterthoughts,-16.722987,-49.201665
1510,Beatrice,Barros,female,"Rua Vereador Nicomédes Nunes 689",Araguari,"Minas Gerais",38446-000,"(34) 8806-9171",37,"Al's Auto Parts",-18.68075,-48.273503
1511,Emily,Araujo,female,"Avenida dos Pinheirais 188",Natal,"Rio Grande do Norte",59080-250,"(84) 4086-3255",44,"The Network Chef",-5.88237,-35.270905
1512,Anna,Costa,female,"Largo Sansorino 1969",Resende,"Rio de Janeiro",27531-070,"(24) 5345-6429",41,"Builders Emporium",-22.369386,-44.391378
1513,Evelyn,Almeida,female,"Quadra QC 16 Conjunto B Bloco 03 1032","Valparaíso de Goiás",Goiás,72878-543,"(61) 6176-3354",23,"Morrison's Cafeteria",-16.112732,-47.994261
